average_rtt,packet_loss,bits_per_second,bu_ratio,retransmits,cpu_host_total,cpu_host_system,bidirectional_duration_ms,src2dst_duration_ms,dst2src_duration_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,traffic_type,traffic_type_numeric
1594.415,12.6,816867.10165,91.8313289835,106,3.376567,2.934173,16816,16816,14431,840.8000000000003,1325.9775976515157,5017,1528.7272727272727,1495.8686500431174,5017,1803.875,2373.523988713828,7039,high,2
1590.963,10.4,1118837.580262,88.81162419738001,172,3.228483,2.829003,17205,17205,14897,905.5263157894738,1421.7733593579944,4999,1720.4999999999998,1596.149481303887,4999,1862.125,2458.099349235967,7022,high,2
1647.495,11.2,657407.16915,93.4259283085,91,3.743256,3.15685,19029,19029,16695,906.1428571428568,1260.352739740517,4391,1729.909090909091,1937.145087728096,6754,1855.0,1412.1543824950586,4391,high,2
1605.644,13.6,938118.795112,90.61881204888,201,3.657815,3.160411,15027,15027,12616,715.5714285714287,1051.1267084147644,3768,1366.0909090909092,1141.0893439643942,3793,1401.7777777777774,1269.1060611487303,3793,high,2
1654.572,12.4,494461.33919,95.0553866081,107,3.678446,3.058585,17688,17688,15181,884.4000000000003,1254.3281027999346,4697,1768.8,1806.665116850504,6244,1686.7777777777774,1468.801958891819,4697,high,2
1575.793,11.8,437495.27993500006,95.62504720065,90,3.89342,3.3813370000000003,18262,18262,15760,869.6190476190477,1257.664401825482,4771,1660.1818181818182,1487.1475258481803,5221,1751.111111111111,1470.4699456674084,4771,high,2
1543.759,11.6,742928.387454,92.57071612546,143,3.737497,3.267128,17033,17033,14694,851.65,1353.0539832463992,5078,1548.4545454545455,1532.0788076098672,5078,1836.75,2405.468338717313,7091,high,2
1568.18,10.0,1262667.3525,87.373326475,185,3.466513,2.96004,16820,16820,14517,841.0,1338.6384677605904,4867,1529.090909090909,1517.1031905935376,4867,1814.625,2372.2708793474662,6890,high,2
256.538,0.0,6344009.740286254,36.55990259713746,113,1.8099507364133207,1.260115797322897,1844,1844,1587,115.25,137.29603053256858,441,230.5,158.05604792514043,466,226.7142857142857,178.91591533987344,511,low,1
255.63,0.0,5544287.275705225,44.55712724294775,528,1.6982871147306078,1.2781112261246177,1824,1824,1571,114.0,136.6128349265422,445,228.0,157.69228625033355,470,224.42857142857144,179.05386260643948,514,low,1
255.767,0.0,6767633.73210929,32.32366267890711,568,1.7238173090335245,1.1894338793949029,1833,1833,1582,114.5625,138.09994870865572,454,229.125,159.68579639851683,479,226.0,181.58744449988825,523,low,1
255.622,0.0,7197419.291355774,28.02580708644227,516,1.6976824164865352,1.240871522790015,1833,1833,1581,114.5625,138.08112048116254,454,229.125,159.61868624944887,479,225.8571428571429,181.15318432331293,521,low,1
254.767,0.0,7053047.519035827,29.46952480964173,545,1.6166337476970338,0.8951089543001637,1839,1839,1586,114.9375,138.15328141838205,450,229.875,159.28091760875097,475,226.57142857142856,181.2096917412321,519,low,1
255.927,0.0,7061561.912159953,29.384380878400464,719,1.61675861095913,1.1741970329690674,1833,1833,1579,114.5625,138.34496437047017,457,229.125,160.3455531923833,483,225.57142857142856,181.6781560368565,524,low,1
254.286,0.0,6959967.9577263845,30.40032042273616,737,1.5494545251476488,1.0231004039699472,1834,1834,1581,114.625,135.62982710303808,435,229.25,156.65042975637553,461,225.85714285714283,177.54382423449576,506,low,1
255.709,0.0,6732956.885020488,32.67043114979512,620,1.6715232740638388,1.2420483605812396,1831,1831,1566,114.4375,136.59720287521753,441,228.875,157.1336442104527,466,223.7142857142857,177.7561197124816,509,low,1
254.801,0.0,7027608.394884841,29.72391605115159,541,1.690547869577758,1.087676990172627,1820,1820,1568,113.75,136.0737545108044,441,227.5,156.83020846034188,466,224.0,177.45985461506498,507,low,1
255.324,0.0,6630994.792390617,33.690052076093835,589,1.607015914755523,1.0688007231474208,1834,1834,1564,114.625,135.86163304381904,434,229.25,156.3254389315535,460,223.42857142857144,177.305627982548,507,low,1
254.996,0.0,6111679.48897392,38.8832051102608,285,1.7725155506293118,1.3885739487512807,1829,1829,1577,114.3125,137.02443516881698,448,228.625,158.51988383615657,473,225.28571428571428,180.96566367289523,521,low,1
256.902,0.0,7145770.60427958,28.54229395720421,682,1.6603720055918103,1.1425905194701678,1828,1828,1566,114.25,137.00875884409726,444,228.5,157.51825291057543,469,223.7142857142857,177.83954780055186,509,low,1
255.778,0.0,7031705.13801985,29.682948619801508,707,1.3694568590555865,1.101419370326099,1832,1832,1578,114.5,138.07003054006083,455,229.0,159.9526715714906,481,225.42857142857144,181.36598095458544,523,low,1
256.425,0.0,6545609.645579306,34.54390354420693,22,1.7163695213909658,1.2145661836111687,1834,1834,1581,114.625,136.36562372289188,438,229.25,156.39761598475306,463,225.8571428571429,177.93952958934165,508,low,1
254.76,0.0,6751815.836644835,32.48184163355165,649,1.528543269153553,1.1404771787220045,1832,1832,1580,114.5,136.49029269512172,440,229.0,157.1641544009684,465,225.7142857142857,177.84704503750245,508,low,1
255.887,0.0,6463454.411188532,35.36545588811468,10,1.6992271395034928,1.3214014743934854,1819,1819,1567,113.6875,136.4256665734128,443,227.375,157.15409862388483,468,223.8571428571429,177.86645605756078,509,low,1
